timestamp,ICMP loss,ICMP ping,ICMP response time,U_ Bits_ received,U_ Bits_ sent,U_ Duplex_ status,U_Inbound_ packets_ discarded,U_ Inbound_ packets_ with _errors,U_Interface_ type,U_ Operational_ status,U_Outbound_ packets_ with_ errors,U_Outbound_ packets_ discarded,U_ Speed,B1_Bits_ received,B1_Bits_ sent,B1_ Duplex _status,B1_ Inbound_ packets_ discarded,B1_Inbound_ packets_ with_ errors,B1_ Interface_ type,B1_Operational_ status,B1_Outbound_ packets_ with_ errors,B1_ Outbound_ packets_ discarded,B1_Speed,P1_ Bits_ received,P1_Bits _sent,P1_ Duplex_ status,P1_ Inbound_ packets_ discarded,P1_Inbound _packets_ with_ errors,P1_ Interface_ type,P1_Operational _status,P1_ Outbound_ packets_ discarded,P1_ Outbound _packets_ with_ errors,P1_Speed,SNMP agent availability,Uptime (network),class,Device_name,Hop_to_server,Hop_to_core,downstream_dependents,path_up
1760264160,0,0,0.0288,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,121,H,CORE-R1,2,0,12,1
1760264220,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,130,H,CORE-R1,2,0,12,1
1760264280,0,1,0.0304,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,152,H,CORE-R1,2,0,12,1
1760264340,0,1,0.028966667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,176,H,CORE-R1,2,0,12,1
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,176,H,CORE-R1,2,0,12,1
1760264880,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,176,H,CORE-R1,2,0,12,1
1760264940,0,1,0.024633333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,134,H,CORE-R1,2,0,12,1
1760265000,33.33333333,1,0.7645,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,188,H,CORE-R1,2,0,12,1
1760265060,0,1,0.023833333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,247,H,CORE-R1,2,0,12,1
1760265120,0,1,0.0344,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,307,H,CORE-R1,2,0,12,1
