timestamp,ICMP loss,ICMP ping,ICMP response time,B2_Bits_ received,B2_Bits_ sent,B2_ Duplex_ status,B2_Inbound_packets_ discarded,B2_Inbound_ packets_ with_ errors,B2_ Interface_ type,B2_ Operational_ status,B2_Outbound _packets_ discarded,B2_ Outbound_ packets_ with_ errors,B2_ Speed,B3_Bits_ received,B3_ Bits_ sent,B3_ Duplex_ status,B3_Inbound _packets_ discarded,B3_Inbound_ packets_ with_ errors,B3_Interface_ type,B3_ Operational_ status,B3_ Outbound_ packets_ discarded,B3_ Outbound_ packets_ with _errors,B3_ Speed,SNMP agent availability,Uptime (network),class,Device_name,Hop_to_server,Hop_to_core,downstream_dependents,path_up
1760264160,0,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,,H,CORE-R2,3,1,11,1
1760264220,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,,H,CORE-R2,3,1,11,1
1760264280,0,1,0.054633333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,0,145,H,CORE-R2,3,1,11,1
1760264340,0,1,0.049666667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,167,H,CORE-R2,3,1,11,1
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,167,H,CORE-R2,3,1,11,1
1760264880,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,0,167,H,CORE-R2,3,1,11,1
1760264940,0,1,0.041866667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,146,H,CORE-R2,3,1,11,1
1760265000,33.33333333,1,0.795,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,179,H,CORE-R2,3,1,11,1
1760265060,0,1,0.037333333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,237,H,CORE-R2,3,1,11,1
1760265120,0,1,0.054933333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,298,H,CORE-R2,3,1,11,1
1760265180,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,358,H,CORE-R2,3,1,11,1
1760266200,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,358,H,CORE-R2,3,1,11,1
1760266260,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,0,358,H,CORE-R2,3,1,11,1
1760266320,0,1,0.058766667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,156,H,CORE-R2,3,1,11,1
1760266380,0,1,0.0377,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,186,H,CORE-R2,3,1,11,1
1760266440,0,1,0.039933333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,247,H,CORE-R2,3,1,11,1
1760266500,0,1,0.0525,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,307,H,CORE-R2,3,1,11,1
1760266560,0,1,0.523,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,368,H,CORE-R2,3,1,11,1
1760266620,66.66666667,1,0.0818,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,1,428,H,CORE-R2,3,1,11,1
1760266680,100,0,0,195168,18032,2,0,0,6,1,0,0,10000000,17760,194992,2,0,0,6,1,0,0,10000000,1,487,F,CORE-R2,3,1,11,1
