timestamp,ICMP loss,ICMP ping,ICMP response time,B4_ Bits_ received,B4_Bits_ sent,B4_ Duplex_ status,B4_ Inbound_packets_ discarded,B4_ Inbound_ packets_ with_ errors,B4_ Interface_ type,B4_ Operational_ status,B4_Outbound _packets_ discarded,B4_ Outbound_ packets_ with_ errors,B4_ Speed,B5_Bits_ received,B5_ Bits_ sent,B5_Duplex_ status,B5_ Inbound_ packets _discarded,B5_ Inbound_ packets_ with_ errors,B5_ Interface_ type,B5_ Operational_ status,B5_Outbound_ packets_ discarded,B5_Outbound_ packets_ with_ errors,B5_ Speed,B6_ Bits_ received,B6_Bits_ sent,B6_ Duplex_ status,B6_ Inbound_ packets_ discarded,B6_ Inbound_ packets_ with_ errors,B6_ Interface_ type,B6_ Operational_ status,B6_ Outbound_ packets_ discarded,B6_ Outbound_ packets_ with_ errors,B6_ Speed,B7_ Bits _received,B7_ Bits_ sent, B7_Inbound_ packets_ discarded,B7_ Inbound_ packets_ with_ errors,B7_ Interface_ type,B7_ Operational_ status,B7_ Outbound_ packets_ discarded,B7_ Outbound_ packets_ with_ errors,B7_ Speed,SNMP agent availability,Uptime (network),class,Device_name,Hop_to_server,Hop_to_core,downstream_dependents,path_up
1760264160,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,-1,H,CORE-R3,4,2,10,1
1760264220,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,0,-1,H,CORE-R3,4,2,10,1
1760264280,0,1,0.051533333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,160,H,CORE-R3,4,2,10,1
1760264340,0,1,0.0443,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,0,178,H,CORE-R3,4,2,10,1
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,178,H,CORE-R3,4,2,10,1
1760264880,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,0,178,H,CORE-R3,4,2,10,1
1760264940,0,1,0.047233333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,148,H,CORE-R3,4,2,10,1
1760265000,0,1,0.06,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,180,H,CORE-R3,4,2,10,1
1760265060,0,1,0.0514,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,240,H,CORE-R3,4,2,10,1
1760265120,0,1,0.0728,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,299,H,CORE-R3,4,2,10,1
1760265180,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,0,361,H,CORE-R3,4,2,10,1
1760266200,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,361,H,CORE-R3,4,2,10,1
1760266260,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,0,361,H,CORE-R3,4,2,10,1
1760266320,0,1,0.053333333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,150,H,CORE-R3,4,2,10,1
1760266380,0,1,0.0466,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,188,H,CORE-R3,4,2,10,1
1760266440,0,1,0.0424,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,249,H,CORE-R3,4,2,10,1
1760266500,0,1,0.0422,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,309,H,CORE-R3,4,2,10,1
1760266560,0,1,0.508333333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,370,H,CORE-R3,4,2,10,1
1760266620,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,430,H,CORE-R3,4,2,10,1
1760266680,100,0,0,194320,17720,2,0,0,6,1,0,0,10000000,664,704,2,0,0,6,1,0,0,10000000,744,720,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,489,F,CORE-R3,4,2,10,1
1760266740,100,0,0,358435,20874,2,0,0,6,1,0,0,10000000,608,662,2,0,0,6,1,0,0,10000000,661,640,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,489,F,CORE-R3,4,2,10,1
1760266800,100,0,0,522549,24028,2,0,0,6,1,0,0,10000000,552,620,2,0,0,6,1,0,0,10000000,579,560,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,604,F,CORE-R3,4,2,10,1
1760266860,100,0,0,686664,27182,2,0,0,6,1,0,0,10000000,496,578,2,0,0,6,1,0,0,10000000,496,480,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,604,F,CORE-R3,4,2,10,1
1760266920,100,0,0,480427,30336,2,0,0,6,1,0,0,10000000,475,536,2,0,0,6,1,0,0,10000000,4245,20205,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,693,F,CORE-R3,4,2,10,1
1760266980,100,0,0,274189,21316,2,0,0,6,1,0,0,10000000,453,456,2,0,0,6,1,0,0,10000000,7995,39931,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,791,F,CORE-R3,4,2,10,1
1760267040,100,0,0,67952,12296,2,0,0,6,1,0,0,10000000,432,376,2,0,0,6,1,0,0,10000000,11744,59656,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,864,F,CORE-R3,4,2,10,1
1760267100,100,0,0,129772,15918,2,0,0,6,1,0,0,10000000,466,426,2,0,0,6,1,0,0,10000000,15162,121290,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,918,H,CORE-R3,4,2,10,1
