timestamp,ICMP loss,ICMP ping,ICMP response time,B8_ Bits_ received,B8_ Bits_sent,B8_ Duplex_ status,B8_ Inbound_ packets_ discarded,B8_ Inbound_ packets_ with_ errors,B8_ Interface_ type,B8_Operational_ status,B8_ Outbound_ packets_ discarded,B8_ Outbound_ packets_ with_ errors,B8_ Speed,B9_Bits_ received,B9_ Bits_ sent,B9_Duplex_ status,B9_ Inbound_ packets_ discarded,B9_ Inbound_ packets_ with_ errors,B9_ Interface_ type,B9_ Operational_ status,B9_ Outbound_ packets_ discarded,B9_ Outbound_ packets_ with_ errors,B9_ Speed,C1_ Bits_ received,C1_Bits_ sent,C1_ Duplex_ status,C1_Inbound_ packets_ discarded,C1_Inbound_ packets_ with_  errors,C1_ Interface_ type,C1_ Operational_ status,C1_ Outbound_ packets_ discarded,C1_Outbound_ packets_ with_ errors,C1_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up,,,,,
1760264160,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,,H,CORE-R4,5,3,4,1,,,,,
1760264220,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,,H,CORE-R4,5,3,4,1,,,,,
1760264280,0,1,0.056933333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,153,H,CORE-R4,5,3,4,1,,,,,
1760264340,0,1,0.056266667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,184,H,CORE-R4,5,3,4,1,,,,,
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,184,H,CORE-R4,5,3,4,1,,,,,
1760264880,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,184,H,CORE-R4,5,3,4,1,,,,,
1760264940,0,1,0.050733333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,156,H,CORE-R4,5,3,4,1,,,,,
1760265000,0,1,0.056533333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,184,H,CORE-R4,5,3,4,1,,,,,
1760265060,0,1,0.0613,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,244,H,CORE-R4,5,3,4,1,,,,,
1760265120,0,1,0.068333333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,304,H,CORE-R4,5,3,4,1,,,,,
1760265180,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,365,H,CORE-R4,5,3,4,1,,,,, 
1760266200,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,365,H,CORE-R4,5,3,4,1,,,,,
1760266260,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,365,H,CORE-R4,5,3,4,1,,,,,
1760266320,0,1,0.0553,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,163,H,CORE-R4,5,3,4,1,,,,,
1760266380,0,1,0.0557,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,193,H,CORE-R4,5,3,4,1,,,,,
1760266440,0,1,0.0533,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,254,H,CORE-R4,5,3,4,1,,,,,
1760266500,33.33333333,1,0.32035,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,314,H,CORE-R4,5,3,4,1,,,,,
1760266560,0,1,0.529666667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,374,H,CORE-R4,5,3,4,1,,,,,
1760266620,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,435,H,CORE-R4,5,3,4,1,,,,,
1760266680,100,0,0,704,808,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,336,440,3,0,0,6,1,0,0,100000000,1,494,F,CORE-R4,5,3,4,1,,,,,
1760266740,100,0,0,6187,1349,2,0,0,6,1,0,0,10000000,123,168,2,0,0,6,1,0,0,10000000,804,5933,3,0,0,6,1,0,0,100000000,1,598,F,CORE-R4,5,3,4,1,,,,,
1760266800,100,0,0,11669,1891,2,0,0,6,1,0,0,10000000,125,168,2,0,0,6,1,0,0,10000000,1272,11427,3,0,0,6,1,0,0,100000000,1,616,F,CORE-R4,5,3,4,1,,,,,
1760266860,100,0,0,17152,2432,2,0,0,6,1,0,0,10000000,128,168,2,0,0,6,1,0,0,10000000,1740,16920,3,0,0,6,1,0,0,100000000,1,661,F,CORE-R4,5,3,4,1,,,,,
1760266920,100,0,0,26784,5235,2,0,0,6,1,0,0,10000000,123,168,2,0,0,6,1,0,0,10000000,2208,26544,3,0,0,6,1,0,0,100000000,1,774,F,CORE-R4,5,3,4,1,,,,,
1760266980,100,0,0,36416,8037,2,0,0,6,1,0,0,10000000,117,164,2,0,0,6,1,0,0,10000000,6240,36168,3,0,0,6,1,0,0,100000000,1,795,F,CORE-R4,5,3,4,1,,,,,
1760267040,100,0,0,46048,10840,2,0,0,6,1,0,0,10000000,112,160,2,0,0,6,1,0,0,10000000,10272,45792,3,0,0,6,1,0,0,100000000,1,867,F,CORE-R4,5,3,4,1,,,,,
1760267100,100,0,0,99086,13693,2,0,0,6,1,0,0,10000000,112,161,2,0,0,6,1,0,0,10000000,13165,98040,3,0,0,6,1,0,0,100000000,1,916,H,CORE-R4,5,3,4,1,,,,,
1760267160,100,0,0,152125,16546,2,0,0,6,1,0,0,10000000,112,162,2,0,0,6,1,0,0,10000000,16058,150288,3,0,0,6,1,0,0,100000000,1,986,H,CORE-R4,5,3,4,1,,,,,
1760267220,100,0,0,205163,19398,2,0,0,6,1,0,0,10000000,112,163,2,0,0,6,1,0,0,10000000,18950,202536,3,0,0,6,1,0,0,100000000,1,986,H,CORE-R4,5,3,4,1,,,,,
1760267280,100,0,0,258202,22251,2,0,0,6,1,0,0,10000000,112,164,2,0,0,6,1,0,0,10000000,21843,254784,3,0,0,6,1,0,0,100000000,1,986,H,CORE-R4,5,3,4,1,,,,,
1760267340,100,0,0,311240,25104,2,0,0,6,1,0,0,10000000,112,164,2,0,0,6,1,0,0,10000000,24736,307032,3,0,0,6,1,0,0,100000000,1,1141,H,CORE-R4,5,3,4,1,,,,,
1760267400,100,0,0,334984,22733,2,0,0,6,1,0,0,10000000,112,165,2,0,0,6,1,0,0,10000000,20864,278576,3,0,0,6,1,0,0,100000000,1,1141,F,CORE-R4,5,3,4,1,,,,,
