timestamp,ICMP loss,ICMP ping,ICMP response time,B10_ Bits_ received,B10_ Bits_ sent,B10_ Duplex_ status,B10_Inbound_ packets_ discarded,B10_Inbound_ packets_ with_ errors,B10_ Interface_ type,B10_ Operational_ status,B10_ Outbound_ packets_ discarded,B10_ Outbound_ packets_ with_ errors,B10_Speed,B11_ Bits_ received,B11_ Bits_ sent,B11_ Duplex_ status,B11_ Inbound_ packets_ discarded,B11_Inbound_ packets_ with_ errors,B11_Interface_ type,B11_ Operational_ status,B11_ Outbound_ packets_ discarded,B11_Outbound_ packets_ with_ errors,B11_ Speed,C2_ Bits_ received,C2_ Bits_ sent,C2_ Duplex_ status,C2_ Inbound_ packets_ discarded,C2_Inbound_ packets_ with_ errors,C2_Interface_ type,C2_ Operational_ status,C2_ Outbound_ packets_ discarded,C2_ Outbound_ packets_ with_ errors,C2_Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1760264160,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,-1,H,CORE-R5,5,3,4,1
1760264220,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,-1,H,CORE-R5,5,3,4,1
1760264280,0,1,0.061,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,164,H,CORE-R5,5,3,4,1
1760264340,0,1,0.0667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,179,H,CORE-R5,5,3,4,1
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,179,H,CORE-R5,5,3,4,1
1760264880,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,179,H,CORE-R5,5,3,4,1
1760264940,0,1,0.064733333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,130,H,CORE-R5,5,3,4,1
1760265000,0,1,0.0696,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,190,H,CORE-R5,5,3,4,1
1760265060,0,1,0.0517,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,250,H,CORE-R5,5,3,4,1
1760265120,0,1,0.104,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,309,H,CORE-R5,5,3,4,1
1760265180,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,371,H,CORE-R5,5,3,4,1
1760266200,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,371,H,CORE-R5,5,3,4,1
1760266260,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,371,H,CORE-R5,5,3,4,1
1760266320,0,1,0.055133333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,0,159,H,CORE-R5,5,3,4,1
1760266380,0,1,0.0491,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,189,H,CORE-R5,5,3,4,1
1760266440,0,1,0.0535,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,250,H,CORE-R5,5,3,4,1
1760266500,0,1,0.062666667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,309,H,CORE-R5,5,3,4,1
1760266560,0,1,0.55,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,370,H,CORE-R5,5,3,4,1
1760266620,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,1,432,H,CORE-R5,5,3,4,1
1760266680,100,0,0,616,768,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,248,408,3,0,0,6,1,0,0,100000000,1,491,F,CORE-R5,5,3,4,1
1760266740,100,0,0,581,685,2,0,0,6,1,0,0,10000000,117,168,2,0,0,6,1,0,0,10000000,184,339,3,0,0,6,1,0,0,100000000,1,491,F,CORE-R5,5,3,4,1
1760266800,100,0,0,547,603,2,0,0,6,1,0,0,10000000,115,168,2,0,0,6,1,0,0,10000000,120,269,3,0,0,6,1,0,0,100000000,1,605,F,CORE-R5,5,3,4,1
1760266860,100,0,0,512,520,2,0,0,6,1,0,0,10000000,112,168,2,0,0,6,1,0,0,10000000,56,200,3,0,0,6,1,0,0,100000000,1,691,F,CORE-R5,5,3,4,1
1760266920,100,0,0,448,515,2,0,0,6,1,0,0,10000000,115,168,2,0,0,6,1,0,0,10000000,45,192,3,0,0,6,1,0,0,100000000,1,740,F,CORE-R5,5,3,4,1
1760266980,100,0,0,384,509,2,0,0,6,1,0,0,10000000,117,168,2,0,0,6,1,0,0,10000000,35,184,3,0,0,6,1,0,0,100000000,1,781,F,CORE-R5,5,3,4,1
1760267040,100,0,0,320,504,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,24,176,3,0,0,6,1,0,0,100000000,1,858,F,CORE-R5,5,3,4,1
1760267100,100,0,0,368,522,2,0,0,6,1,0,0,10000000,120,170,2,0,0,6,1,0,0,10000000,30,182,3,0,0,6,1,0,0,100000000,1,915,H,CORE-R5,5,3,4,1
1760267160,100,0,0,416,539,2,0,0,6,1,0,0,10000000,120,172,2,0,0,6,1,0,0,10000000,36,188,3,0,0,6,1,0,0,100000000,1,980,H,CORE-R5,5,3,4,1
1760267220,100,0,0,464,557,2,0,0,6,1,0,0,10000000,120,174,2,0,0,6,1,0,0,10000000,42,194,3,0,0,6,1,0,0,100000000,1,980,H,CORE-R5,5,3,4,1
