timestamp,ICMP loss,ICMP ping,ICMP response time,P2_ Bits_ received,P2_ Bits_ sent,P2_ Duplex_ status,P2_Inbound_ packets_ discarded,P2_ Inbound_ packets_ with_ errors,P2_Interface_ type,P2_Operational_ status,P2_Outbound_ packets_ discarded,P2_ Outbound_ packets_ with_ errors,P2_Speed,P3_ Bits_ received,P3_ Bits_ sent,P3_ Duplex_ status,P3_Inbound_ packets_ discarded,P3_ Inbound_ packets_ with_ errors,P3_Interface type,P3_Operational_ status,P3_Outbound_ packets_ discarded,P3_ Outbound_ packets_ with_ errors,P3_ Speed,P4_ Bits_ received,P4_ Bits_ sent,P4_ Inbound _packets_ discarded,P4_Inbound_ packets_ with _errors,P4_Interface_ type,P4_ Operational_ status,P4_Outbound_ packets_ discarded,P4_Outbound _packets_ with_ errors,P4_Speed,SNMP agent availability,Uptime (network),Uptime2(network),class,Device_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1760264160,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,50,-1,H,EDGE-MS,1,1,13,1
1760264220,0,1,0.011356667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,52,8268,H,EDGE-MS,1,1,13,1
1760264280,0,1,0.00906,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,112,14296,H,EDGE-MS,1,1,13,1
1760264340,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,173,14296,H,EDGE-MS,1,1,13,1
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,54,5427,H,EDGE-MS,1,1,13,1
1760264880,0,1,0.0299,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,63,9339,H,EDGE-MS,1,1,13,1
1760264940,0,1,0.00546,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,0,0,135,1,0,0,10000000,1,123,15284,H,EDGE-MS,1,1,13,1
1760265000,0,1,0.01124,2792,3632,2,0,0,6,1,0,0,10000000,18288,15952,2,0,0,6,1,0,0,10000000,18440,16032,0,0,135,1,0,0,10000000,1,182,21430,H,EDGE-MS,1,1,13,1
1760265060,0,1,0.008646667,120589,8717,2,0,0,6,1,0,0,10000000,19024,63733,2,0,0,6,1,0,0,10000000,19045,130037,0,0,135,1,0,0,10000000,1,244,27454,H,EDGE-MS,1,1,13,1
1760265120,0,1,0.009503333,238387,13803,2,0,0,6,1,0,0,10000000,19760,111515,2,0,0,6,1,0,0,10000000,19651,244043,0,0,135,1,0,0,10000000,1,304,33351,H,EDGE-MS,1,1,13,1
1760265180,0,1,0.011,356184,18888,2,0,0,6,1,0,0,10000000,20496,159296,2,0,0,6,1,17,0,10000000,20256,358048,0,0,135,1,0,0,10000000,1,363,39342,H,EDGE-MS,1,1,13,1
