Fault ID,Start  Time ,End Time ,Duration (s),Fault Type ,Domain of fault Injection,,,,,
F01,12-10-2025 10:58,12-10-2025 11:04,360,Single link failure,Core Fault Domain,,,,,
F02,12-10-2025 11:10,12-10-2025 11:16,360,Multiple Link Failure,Core Fault Domain,,,,,
F03,12-10-2025 11:19,12-10-2025 11:22,180,Misconfiguration,Core Fault Domain,,,,,
F04,12-10-2025 11:25,12-10-2025 11:28,180,Misconfiguration,Access Fault Domain ,,,,,
F05,12-10-2025 11:31,12-10-2025 11:41,600,Routing Misconfiguration,Core Fault Domain & Edge Fault Domain ,,,,,
F06,12-10-2025 19:06,12-10-2025 19:08,120,Line card Failure,Core Fault Domain & Edge Fault Domain ,,,,,
F07,13-10-2025 06:34,13-10-2025 06:40,360,Misconfiguration,Edge Fault Domain,,,,,
F08,13-10-2025 07:49,13-10-2025 08:06,1020,ICMP Blocked (Firewall),Core Fault Domain & Edge Fault Domain & Access Fault Domain ,,,,,
F09,13-10-2025 08:44,13-10-2025 08:49,300,Node failure,Core Failure Domain,,,,,
F10,14-10-2025 09:31,14-10-2025 09:34,180,Misconfiguration,Access Fault Domain ,,,,,
F11,14-10-2025 09:46,14-10-2025 09:49,180,Routing Misconfiguration,Core Fault Domain,,,,,
F12,15-10-2025 08:49,15-10-2025 08:52,180,Single link failure,Core Fault Domain,,,,,
F13,15-10-2025 08:58,15-10-2025 09:01,180,Misconfiguration,Core Fault Domain & Edge Fault Domain & Access Fault Domain ,,,,,
F14,15-10-2025 10:58,15-10-2025 11:03,300,Routing Misconfiguration,Edge Fault Domain,,,,,
F15,15-10-2025 11:10,15-10-2025 11:12,120,ICMP Blocked (Firewall),Core Fault Domain & Edge Fault Domain & Access Fault Domain ,,,,,
F16,15-10-2025 14:16,15-10-2025 14:34,1080,Multiple Link Failure,Core Fault Domain,,,,,
F17,15-10-2025 14:37,15-10-2025 14:40,180,Misconfiguration,Core Fault Domain,,,,,
F18,16-10-2025 07:55,16-10-2025 08:01,360,Single link failure,Edge Fault Domain,,,,,
F19,16-10-2025 08:13,16-10-2025 08:14,60,ICMP Blocked (Firewall),Core Fault Domain & Edge Fault Domain & Access Fault Domain ,,,,,
F20,16-10-2025 18:01,16-10-2025 18:06,300,Routing Misconfiguration,Core Fault Domain,,,,,
F21,17-10-2025 06:40,17-10-2025 06:41,60,Misconfiguration,Core Fault Domain,,,,,
F22,17-10-2025 06:53,17-10-2025 06:54,60,ICMP Blocked (Firewall),Core Fault Domain,,,,,
F23,17-10-2025 12:19,17-10-2025 12:22,180,Single link failure,Core Fault Domain,,,,,
F24,17-10-2025 12:27,17-10-2025 12:29,120,Misconfiguration,Core Fault Domain,,,,,
F25,18-10-2025 07:40,18-10-2025 07:44,240,Routing Misconfiguration,Core Fault Domain,,,,,
F26,18-10-2025 08:04,18-10-2025 08:13,540,Multiple Link Failure,Core Fault Domain & Edge Fault Domain ,,,,,
F27,18-10-2025 08:18,18-10-2025 08:20,120,Single link failure,Core Fault Domain,,,,,
F28,18-10-2025 11:54,18-10-2025 11:55,60,Misconfiguration,Edge Fault Domain,,,,,
F29,18-10-2025 12:28,18-10-2025 12:34,360,Single link failure,Core Fault Domain,,,,,
F30,19-10-2025 08:27,19-10-2025 08:34,420,Routing Misconfiguration,Core Fault Domain,,,,,
F31,20-10-2025 10:55,20-10-2025 10:57,120,ICMP Blocked (Firewall),Access Fault Domain ,,,,,
F32,24-10-2025 07:13,24-10-2025 07:16,180,Misconfiguration,Core Fault Domain,,,,,
F33,24-10-2025 07:22,24-10-2025 07:28,360,Single link failure,Core Fault Domain,,,,,
F34,24-10-2025 07:40,24-10-2025 07:49,540,Routing Misconfiguration,Core Fault Domain & Edge Fault Domain & Access Fault Domain ,,,,,
F35,25-10-2025 12:16,25-10-2025 12:17,60,Routing Misconfiguration,Core Fault Domain,,,,,
F36,25-10-2025 12:20,25-10-2025 12:21,60,ICMP Blocked (Firewall),Core Fault Domain,,,,,
F37,25-10-2025 12:25,25-10-2025 12:28,180,Multiple nodes failures,Core Fault Domain,,,,,
F38,25-10-2025 14:03,25-10-2025 14:05,120,Single link failure,Core Fault Domain,,,,,
F39,25-10-2025 14:19,25-10-2025 14:26,420,Misconfiguration,Core Fault Domain,,,,,
F40,25-10-2025 14:43,25-10-2025 14:46,180,Misconfiguration,Core Fault Domain,,,,,
F41,25-10-2025 16:05,25-10-2025 16:09,240,Multiple Link Failure,Core Fault Domain,,,,,
F42,15-11-2025 17:39,15-11-2025 17:41,120,ICMP Blocked (Firewall),Core Fault Domain,,,,,
F43,15-11-2025 19:25,15-11-2025 19:28,180,Line card Failure,Core Fault Domain,,,,,
F44,16-11-2025 06:46,16-11-2025 06:54,480,Multiple Link Failure,Core Fault Domain,,,,,
F45,16-11-2025 08:33,16-11-2025 08:35,120,ICMP Blocked (Firewall),Core Fault Domain & Edge Fault Domain ,,,,,
F46,16-11-2025 09:52,16-11-2025 09:55,180,Multiple Link Failure,Core Fault Domain & Edge Fault Domain ,,,,,
F47,16-11-2025 10:16,16-11-2025 10:19,180,Single link failure,Edge Fault Domain,,,,,
F48,16-11-2025 10:22,16-11-2025 10:34,720,Misconfiguration,Core Fault Domain & Edge Fault Domain & Access Fault Domain ,,,,,
F49,16-11-2025 12:49,16-11-2025 12:59,600,ICMP Blocked (Firewall),Edge Fault Domain,,,,,
F50,16-11-2025 18:29,16-11-2025 18:32,180,Single link failure,Edge Fault Domain,,,,,
F51,17-11-2025 08:31,17-11-2025 08:40,540,Single Node Failure,Core Fault Domain,,,,,
F52,17-11-2025 14:28,17-11-2025 14:31,180,Misconfiguration,Core Fault Domain,,,,,
F53,18-11-2025 07:13,18-11-2025 07:23,600,Single Node Failure,Edge Fault Domain,,,,,
F54,18-11-2025 08:48,18-11-2025 09:04,960,Multiple Link Failure,Core Fault Domain,,,,,
F55,18-11-2025 09:12,18-11-2025 09:19,420,Misconfiguration,Core Fault Domain & Edge Fault Domain ,,,,,
F56,19-11-2025 08:37,19-11-2025 08:38,60,ICMP Blocked (Firewall),Core Fault Domain & Edge Fault Domain ,,,,,
F57,19-11-2025 08:45,19-11-2025 08:49,240,Misconfiguration,Access Fault Domain ,,,,,
F58,19-11-2025 09:36,19-11-2025 09:38,120,ICMP Blocked (Firewall),Core Fault Domain,,,,,
F59,19-11-2025 13:30,19-11-2025 13:32,120,Misconfiguration,Access Fault Domain ,,,,,
F60,20-11-2025 08:38,20-11-2025 08:39,60,ICMP Blocked (Firewall),Edge Fault Domain,,,,,
F61,20-11-2025 10:10,20-11-2025 10:22,720,Routing Misconfiguration,Core Fault Domain,,,,,
F62,20-11-2025 11:13,20-11-2025 11:18,300,Single link failure,Access Fault Domain ,,,,,
F63,25-11-2025 08:43,25-11-2025 08:49,360,Misconfiguration,Access Fault Domain ,,,,,
F64,25-11-2025 10:58,25-11-2025 11:04,360,Routing Misconfiguration,Core Fault Domain,,,,,
F65,26-11-2025 09:36,26-11-2025 09:38,120,ICMP Blocked (Firewall),Edge Fault Domain,,,,,
F66,26-11-2025 11:32,26-11-2025 12:01,1740,Multiple Link Failure,Core Fault Domain,,,,,
F67,26-11-2025 12:30,26-11-2025 12:32,120,Misconfiguration,Access Fault Domain ,,,,,
F68,26-11-2025 13:30,26-11-2025 13:33,180,SNMP agent failure,Core Fault Domain,,,,,
F69,28-11-2025 10:18,28-11-2025 10:25,420,Routing Misconfiguration,Core Fault Domain,,,,,
,,,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
